symbol,exchange,name,sector,industry,cap_category,index
AKCAPIT.NS,NSE,AK Capital Services Limited,,,,
AKG.NS,NSE,Akg Exim Limited,,,,
AKI.NS,NSE,AKI India Limited,,,,
AKSHAR.NS,NSE,Akshar Spintex Limited,,,,
AKSHARCHEM.NS,NSE,AksharChem India Limited,,,,
AKSHOPTFBR.NS,NSE,Aksh Optifibre Limited,,,,
AKUMS.NS,NSE,Akums Drugs and Pharmaceuticals Limited,,,,
ALANKIT.NS,NSE,Alankit Limited,,,,
ALBERTDAVD.NS,NSE,Albert David Limited,,,,
ALEMBICLTD.NS,NSE,Alembic Limited,,,,
ALFREDHE.NS,NSE,Alfred Herbert India Limited,,,,
ALGOQUANT.NS,NSE,Algoquant Fintech Limited,,,,
ALICON.NS,NSE,Alicon Castalloy Limited,,,,
ALIVUS.NS,NSE,Alivus Life Sciences Limited,,,,
ALKALI.NS,NSE,Alkali Metals Limited,,,,
ALKEM.NS,NSE,Alkem Laboratories Limited,,,,
ALKYLAMINE.NS,NSE,Alkyl Amines Chemicals Limited,,,,
ALLCARGO.NS,NSE,Allcargo Logistics Limited,,,,
ALLDIGI.NS,NSE,Alldigi Tech Limited,,,,
ALLTIME.NS,NSE,All Time Plastics Limited,,,,
ALMONDZ.NS,NSE,Almondz Global Securities Limited,,,,
ALOKINDS.NS,NSE,Alok Industries Limited,,,,
ALPA.NS,NSE,Alpa Laboratories Limited,,,,
ALPHAGEO.NS,NSE,Alphageo (India) Limited,,,,
ALPINETEX.NS,NSE,Alpine Texworld Limited,,,,
ALUFLUOR.NS,NSE,Alufluoride Limited,,,,
AMAGI.NS,NSE,Amagi Media Labs Limited,,,,
AMAL.NS,NSE,Amal Limited,,,,
AMANTA.NS,NSE,Amanta Healthcare Limited,,,,
AMARJOTHI.NS,NSE,Amarjothi Spinning Mills Limited,,,,
AMBALALSA.NS,NSE,Ambalal Sarabhai Enterprises Limited,,,,
AMBER.NS,NSE,Amber Enterprises India Limited,,,,
AMBICAAGAR.NS,NSE,Ambica Agarbathies & Aroma industries Limited,,,,
AMBIKCO.NS,NSE,Ambika Cotton Mills Limited,,,,
AMBUJACEM.NS,NSE,Ambuja Cements Limited,,,,
AMDIND.NS,NSE,AMD Industries Limited,,,,
AMJLAND.NS,NSE,Amj Land Holdings Limited,,,,
AMNPLST.NS,NSE,Amines & Plasticizers Limited,,,,
AMRUTANJAN.NS,NSE,Amrutanjan Health Care Limited,,,,
ANANDRATHI.NS,NSE,Anand Rathi Wealth Limited,,,,
ANANTRAJ.NS,NSE,Anant Raj Limited,,,,
ANDHRAPAP.NS,NSE,ANDHRA PAPER LIMITED,,,,
ANDHRSUGAR.NS,NSE,The Andhra Sugars Limited,,,,
ANDREWYU.NS,NSE,Andrew Yule & Company Limited,,,,
ANGELONE.NS,NSE,Angel One Limited,,,,
ANIKINDS.NS,NSE,Anik Industries Limited,,,,
ANKITMETAL.NS,NSE,Ankit Metal & Power Limited,,,,
ANMOL.NS,NSE,Anmol India Limited,,,,
ANNAPURNA.NS,NSE,Annapurna Swadisht Limited,,,,
ANNU.NS,NSE,Annu Projects Limited,,,,
ANSALAPI.NS,NSE,Ansal Properties & Infrastructure Limited,,,,
ANSALBU.NS,NSE,Ansal Buildwell Limited,,,,
ANTELOPUS.NS,NSE,Antelopus Selan Energy Limited,,,,
ANTGRAPHIC.NS,NSE,Antarctica Limited,,,,
ANTHEM.NS,NSE,Anthem Biosciences Limited,,,,
ANUHPHR.NS,NSE,Anuh Pharma Limited,,,,
ANUP.NS,NSE,The Anup Engineering Limited,,,,
ANURAS.NS,NSE,Anupam Rasayan India Limited,,,,
APARINDS.NS,NSE,Apar Industries Limited,,,,
APCL.NS,NSE,Anjani Portland Cement Limited,,,,
APCOTEXIND.NS,NSE,Apcotex Industries Limited,,,,
APEX.NS,NSE,Apex Frozen Foods Limited,,,,
APLAPOLLO.NS,NSE,APL Apollo Tubes Limited,,,,
APLLTD.NS,NSE,Alembic Pharmaceuticals Limited,,,,
APOLLO.NS,NSE,Apollo Micro Systems Limited,,,,
APOLLOHOSP.NS,NSE,Apollo Hospitals Enterprise Limited,,,,
APOLLOPIPE.NS,NSE,Apollo Pipes Limited,,,,
APOLLOTYRE.NS,NSE,Apollo Tyres Limited,,,,
APOLSINHOT.NS,NSE,Apollo Sindoori Hotels Limited,,,,
APOORVA.NS,NSE,Apoorva Leasing Finance and Investment Company Limited,,,,
APTECHT.NS,NSE,Aptech Limited,,,,
APTUS.NS,NSE,Aptus Value Housing Finance India Limited,,,,
AQYLON.NS,NSE,Aqylon Nexus Limited,,,,
ARCHIDPLY.NS,NSE,Archidply Industries Limited,,,,
ARCHIES.NS,NSE,Archies Limited,,,,
ARCIL.NS,NSE,Asset Reconstruction Company (India) Limited,,,,
ARCL.NS,NSE,ARCL Organics Limited,,,,
ARDEE.NS,NSE,Ardee Industries Limited,,,,
ARE&M.NS,NSE,Amara Raja Energy & Mobility Limited,,,,
ARENTERP.NS,NSE,Rajdarshan Industries Limited,,,,
ARFIN.NS,NSE,Arfin India Limited,,,,
ARIES.NS,NSE,Aries Agro Limited,,,,
ARIHANT.NS,NSE,Arihant Foundations & Housing Limited,,,,
ARIHANTCAP.NS,NSE,Arihant Capital Markets Limited,,,,
ARIHANTSUP.NS,NSE,Arihant Superstructures Limited,,,,
ARIS.NS,NSE,Arisinfra Solutions Limited,,,,
ARKADE.NS,NSE,Arkade Developers Limited,,,,
ARMANFIN.NS,NSE,Arman Financial Services Limited,,,,
AROGRANITE.NS,NSE,Aro Granite Industries Limited,,,,
ARROWGREEN.NS,NSE,Arrow Greentech Limited,,,,
ARSHIYA.NS,NSE,Arshiya Limited,,,,
ARSSBL.NS,NSE,Anand Rathi Share and Stock Brokers Limited,,,,
ARTEMISMED.NS,NSE,Artemis Medicare Services Limited,,,,
ARTNIRMAN.NS,NSE,Art Nirman Limited,,,,
ARVEE.NS,NSE,Arvee Laboratories (India) Limited,,,,
ARVIND.NS,NSE,Arvind Limited,,,,
ARVINDFASN.NS,NSE,Arvind Fashions Limited,,,,
ARVSMART.NS,NSE,Arvind SmartSpaces Limited,,,,
ARYAMAN.NS,NSE,Aryaman Financial Services Limited,,,,
ASAHIINDIA.NS,NSE,Asahi India Glass Limited,,,,
ASAHISONG.NS,NSE,Asahi Songwon Colors Limited,,,,
ASAL.NS,NSE,Automotive Stampings and Assemblies Limited,,,,
ASALCBR.NS,NSE,Associated Alcohols & Breweries Ltd.,,,,
ASHAPURMIN.NS,NSE,Ashapura Minechem Limited,,,,
ASHIANA.NS,NSE,Ashiana Housing Limited,,,,
ASHIKAG.NS,NSE,Ashika Global Securities Limited,,,,
ASHIMASYN.NS,NSE,Ashima Limited,,,,
ASHOKA.NS,NSE,Ashoka Buildcon Limited,,,,
ASHOKAMET.NS,NSE,Ashoka Metcast Limited,,,,
ASHOKLEY.NS,NSE,Ashok Leyland Limited,,,,
ASIANENE.NS,NSE,Asian Energy Services Limited,,,,
ASIANHOTNR.NS,NSE,Asian Hotels (North) Limited,,,,
ASIANPAINT.NS,NSE,Asian Paints Limited,,,,
ASIANTILES.NS,NSE,Asian Granito India Limited,,,,
ASIANTNE.NS,NSE,Asian Tea & Exports Limited,,,,
ASKAUTOLTD.NS,NSE,ASK Automotive Limited,,,,
ASMS.NS,NSE,Avio Smart Market Stack Limited,,,,
ASPINWALL.NS,NSE,Aspinwall and Company Limited,,,,
ASSAMENT.NS,NSE,Assam Entrade Limited,,,,
ASTAR.NS,NSE,Asian Star Company Limited,,,,
ASTEC.NS,NSE,Astec LifeSciences Limited,,,,
ASTERDM.NS,NSE,Aster DM Quality Care Limited,,,,
ASTRAL.NS,NSE,Astral Limited,,,,
ASTRAMICRO.NS,NSE,Astra Microwave Products Limited,,,,
ASTRAZEN.NS,NSE,AstraZeneca Pharma India Limited,,,,
ASTRON.NS,NSE,Astron Paper & Board Mill Limited,,,,
ATALREAL.NS,NSE,Atal Realtech Limited,,,,
ATAM.NS,NSE,Atam Valves Limited,,,,
ATGL.NS,NSE,Adani Total Gas Limited,,,,
ATHERENERG.NS,NSE,Ather Energy Limited,,,,
ATL.NS,NSE,Allcargo Terminals Limited,,,,
ATLANTAA.NS,NSE,ATLANTAA LIMITED,,,,
ATLANTAELE.NS,NSE,Atlanta Electricals Limited,,,,
ATLASCYCLE.NS,NSE,Atlas Cycles (Haryana) Limited,,,,
ATUL.NS,NSE,Atul Limited,,,,
ATULAUTO.NS,NSE,Atul Auto Limited,,,,
AUBANK.NS,NSE,AU Small Finance Bank Limited,,,,
AUGMONT.NS,NSE,Augmont Enterprises Limited,,,,
AURIONPRO.NS,NSE,Aurionpro Solutions Limited,,,,
AUROPHARMA.NS,NSE,Aurobindo Pharma Limited,,,,
AURUM.NS,NSE,Aurum PropTech Limited,,,,
AURUS.NS,NSE,AURUS GEM CORPORATION LIMITED,,,,
AUSOMENT.NS,NSE,Ausom Enterprise Limited,,,,
AUSTENG.NS,NSE,Austin Engineering Company  Limited,,,,
AUTOAXLES.NS,NSE,Automotive Axles Limited,,,,
AUTOIND.NS,NSE,Autoline Industries Limited,,,,
AVADHSUGAR.NS,NSE,Avadh Sugar & Energy Limited,,,,
AVALON.NS,NSE,Avalon Technologies Limited,,,,
AVANCE.NS,NSE,Avance Technologies Limited,,,,
AVANTEL.NS,NSE,Avantel Limited,,,,
AVANTIFEED.NS,NSE,Avanti Feeds Limited,,,,
AVG.NS,NSE,AVG Logistics Limited,,,,
AVL.NS,NSE,Aditya Vision Limited,,,,
AVONMORE.NS,NSE,Avonmore Capital & Management Services Limited,,,,
AVROIND.NS,NSE,AVRO INDIA LIMITED,,,,
AVTNPL.NS,NSE,AVT Natural Products Limited,,,,
AWFIS.NS,NSE,Awfis Space Solutions Limited,,,,
AWHCL.NS,NSE,Antony Waste Handling Cell Limited,,,,
AWL.NS,NSE,AWL Agri Business Limited,,,,
AXISBANK.NS,NSE,Axis Bank Limited,,,,
AXISCADES.NS,NSE,AXISCADES Technologies Limited,,,,
AXITA.NS,NSE,Axita Cotton Limited,,,,
AXTEL.NS,NSE,Axtel Industries Limited,,,,
AYE.NS,NSE,Aye Finance Limited,,,,
AYMSYNTEX.NS,NSE,AYM Syntex Limited,,,,
AZAD.NS,NSE,Azad Engineering Limited,,,,
AZADIND.NS,NSE,Azad India Mobility Limited,,,,
BAFNAPH.NS,NSE,Bafna Pharmaceuticals Limited,,,,
BAGFILMS.NS,NSE,B.A.G Films and Media Limited,,,,
BAIDFIN.NS,NSE,Baid Finserv Limited,,,,
BAJAJ-AUTO.NS,NSE,Bajaj Auto Limited,,,,
BAJAJCON.NS,NSE,Bajaj Consumer Care Limited,,,,
BAJAJELEC.NS,NSE,Bajaj Electricals Limited,,,,
BAJAJFINSV.NS,NSE,Bajaj Finserv Limited,,,,
BAJAJHCARE.NS,NSE,Bajaj Healthcare Limited,,,,
BAJAJHFL.NS,NSE,Bajaj Housing Finance Limited,,,,
BAJAJHIND.NS,NSE,Bajaj Hindusthan Sugar Limited,,,,
BAJAJHLDNG.NS,NSE,Bajaj Holdings & Investment Limited,,,,
BAJAJINDEF.NS,NSE,Indef Manufacturing Limited,,,,
BAJAJST.NS,NSE,Bajaj Steel Industries Limited,,,,
BAJEL.NS,NSE,Bajel Projects Limited,,,,
